label,text
0,@united My credit card was charged on the transaction when I was told it would not be. If the charge goes through I will be contacting you.
0,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
0,@united 1k and had problem getting out of FLL to IAH  sent DM to you about making my connection  please let me know
0,@united this is getting ridiculous. Now we're missing our connection.
0,"@AmericanAir It's not about weather, it's logistics. Why should I hold for 90 minutes when you called me? Why not get more desk agents?"
0,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication
0,@USAirways this is so unacceptable. I'm going for the day. Now most of my day will be sitting on your plane. Not to mention there is no air
1,"@USAirways I'm enjoying my flights so far! You're doing a great job. Today's been tough, so thanks for making my flights comfortable."
0,@JetBlue can you let me know status of flight #454 PBI-JFK delayed 2.5hours now on board problem with hatch..
0,@united Pay for a cab back to the airport to show baggage dept. my wet shirts and suit is not a viable option. 2nd time this has happened!!
0,"@AmericanAir Hey you Cancelled Flightled my flight, and I can't get someone on the phone to rebook (2 hour wait minimum). Can I get some service?"
0,@JetBlue Finally starting to come out. 40 minutes and no communication is not acceptable. Letting me down today.
0,"@SouthwestAir I have used you guys for most my travels, but this last experience I will never use southwest again! #worstcustomerservice"
0,@USAirways my bag landed 1 day Late Flight at sfo at 11:40am. How can it be 10:01pm and I still don't have it? Flight 719 2/22/14
0,@SouthwestAir well my mom called earlier and you guys had her on hold for close to an hour
0,@AmericanAir My flight 1389 from Las Vegas to DFW was Cancelled Flightled! I've been on hold forever and I still have not spoken to anyone! Pls Help
1,"@united yes, Thx! At 10:35 (landed at 9:20)."
1,@SouthwestAir  thanks for adding passbook ability! Hopefully we can do group passbook tickets in the future somehow.
1,@SouthwestAir already booked my tickets for August 20th-30th!  Can't wait for my vacation!
0,"@timbennettg3 @USAirways Cancelled Flightled 4532 sch departure 8:38 am, wasn't snowing yet and other flights were still leaving #Fail"
0,@united You know what the United Club needs? Power. MOAR power. Insufficient outlets for the #RoadWarrior (ORD)
1,@AmericanAir thanks! Flight 2160 today. Great crew!
0,@USAirways headed to NYC from CLT. Funny to hear all phones ring at once and then the entire plane groan (has happened twice more).
0,@AmericanAir I let a crew member know every time this happens.  Which is most of the time.
0,@united can you tell me how to file a claim for clothing that had to be purchased?
0,@united #CustomerService #fail long time flyer switching airlines #frustrated
0,@AmericanAir usually raving about the service to LAX. Your nbr1 and helper can't figure out how to hang a coat and serve a drink. 6F
0,"@AmericanAir 3231DTW to LAG at 4:45. Flight Cancelled Flightled with no notice. Given a voucher to a dirty hotel, with no food vouchers or apology."
0,@AmericanAir but the issue is were waiting on rampers to close the door..only to waste more fuel&amp;likely to be told we need more fuel.#cycle
0,@AmericanAir me because it might not be so urgent for you but it really is for me. (5)
1,@AmericanAir my boss is :)
0,@United Personal Device Entertainment system is great but with app crashing every 10/15 mins I'm glad it's free for now.
1,@AmericanAir no worries even though I was talking about seat assignment :)
0,@USAirways ...be found when he checks in. Now no info. Please DM me and help me fix this NOW. (3/3)
0,@AmericanAir TSA. When I tried to check in the things I've bought your people told me it was Late Flight to do it. So... I want my things back
0,@united Then you delete my return ticket to Europe and blame me for the now show? This airline is a joke. 3 times this happened now.3 times!
0,@SouthwestAir Almost 2 hours on hold now. I just need to Cancelled Flight a flight and get a refund. Other airlines are operating!
0,"@SouthwestAir @fox8news Serious potential for a wanna get away commercial out of this debacle.  But for real, you should fire @Kristi_Capel"
0,@AmericanAir Flight #2390 delayed 14 hours!! No one at #AmericanAirlines counter can tell my husband that he will be on that flight! Help???
0,@JetBlue not one of my four flights this trip has been on time. What the he'll is your companies problem?
1,"@united Great, thank you!"
1,@JetBlue Crisis averted! Flight #69 from BOS to FLL is boarding. Let's hope the new pilots aren't Clarence Oveur and Roger Murdock. :-)
1,"@JetBlue Best airline name ever. Whenever I see it, I want to get on their plane to blue skies &amp; sea. (And they DELIVER on that promise)"
0,"@united Listen, learn &amp; do this: Remove your PQD requirement. It is insulting. ^HA"
1,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
0,@SouthwestAir why can't you take me to Knoxville?? yall are my fav #help
0,@JetBlue I'd fly to an airline who actually gave a crap about its fliers outside of generic apologies. Jet Blue is terrible #jetblue
1,@USAirways Marsha M. at Myrtle Beach is the greatest! She deserves all the respect and praise there is! #ThankYouForEverything
1,@united I appreciate the follow up.
0,@JetBlue nope. This 8:45am flight is now not leaving until almost 5pm. 5! I can't believe I paid money for this.
0,@AmericanAir good care of their customers if anything happen to then take you @Delta  for getting me back to NYC !! Screw you @AmericanAir
0,@AmericanAir thanks for being entirely unhelpful and wasting hours of my time today
1,"@USAirways thx 4 replying. After trying 2 get thru many times, &amp; v-mail or people hanging up on, us we talked 2 tech...cont'd"
0,@AmericanAir the service received by both of us was rude and well below my expectations of your airline. That is what's most frustrating
1,@united thanks -- we filled it out. How's our luck with this? Is it common?
0,@united - you delayed our departure by 2 hrs to wait for passengers from another flight that was Late Flight! Unacceptable!!
0,"@united because of the horrific flight experience, you guys have made me NEVER want to fly on an airplane every again!!!!!!!"
0,@united fyi the site/app still shows plenty of the unavailable flights I had errors with. Almost 24 hrs after sellout. Flying @AmericanAir
0,"@JetBlue My mother had overheard a personnel ask the attendant if ""the passengers really knew what was going on"" and the attendant said no."
1,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?"
0,@USAirways why the hell did you overbook a plane when you knew people actually had seat assignments. #inept #uncaring #piss poorplanning
0,"@united I'm not sure it will have ""next time""..."
0,@USAirways Good grief! Flight Cancelled Flightled. Been on hold since 0400.
0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
1,@USAirways KUDOS to your phone support and Charlotte gate staff!
0,"@usairways Row 16, flight 634 today if you're looking for specifics! I can run to Home Depot for the WD40 you if you need."
0,@SouthwestAir not letting me DM. # is FSZ4YO
0,@USAirways I've flown US Airways at least five times. Every single time has been like this. Actions speak louder than words.
0,@USAirways 45 minute delay for take off and 30 minute wait for checked bags? Really?
0,@united day 3 of this Saga maybe they'll finally make it home.Intentional or not it not gonna get them back there vacation days #badservice
0,@united after 6 hour plus delay from #WashingtonDC finally on flight to #Edinburgh all very tired
1,@VirginAmerica wow this just blew my mind
0,@USAirways why the hell u left *alliance and joined 1world is beyond me not a smart move time to start looking at other carriers
0,@united is a joke.  Lots of angry people at IAH this AM.
0,@SouthwestAir been on hold for 30 min trying to rebook my flight you Cancelled Flightled. Help?!
0,@AmericanAir improve Envoy's performance.  5th trip through ORD in 2015 I've been delayed for hours because of Envoy.  I could drive faster!
0,@SouthwestAir @Matt_e_Boss how long did you have to hold? We waited 35 minutes and gave up
0,@united 3 hours of sitting in the plane that hasn't left the Gate yet. 6 more hours of actual flying left.
0,"@AmericanAir $600 Late Flightr, 2 complete itinerary changes, and lost work and time, but yeah ""I"" got it rebooked"
0,@AmericanAir most horrendous service ever !! On off two planes. Been in Phil for 10 hrs. Now captain can't get flight info to print? #wtf
1,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
1,@AmericanAir  Mad love http://t.co/4ojrSDWPkK NYC-
0,"@USAirways - flights 4500 AND 403 delayed for ""crew availability?""  What gives? I'm getting to TPA 2.5 hrs past my scheduled arrival."
0,@AmericanAir unable to access the website.  Will try again.
0,@USAirways But every time I call I'm on hold for 45 min and then get disconnected. Any way someone can help?
0,@united I sent a message. It's very irresponsible that my suitcase cannot be found. This is truly worst service ever... #fedup #disastrous
0,@AmericanAir thx for nothing on getting us out of the country and back to US. Broken plane? Come on. Get another one.
0,"@USAirways  - I had 20,748 miles in  my account and was informed I'd forfeit them bc of 33 months of inactivity - I"
0,@USAirways i hate you
0,"@JetBlue no, we are at a hotel.  Also, Jetblue lost my daughters luggage.  How do you lose luggage if the plane never actually left!!!"
0,@JetBlue no updates on anything! All we know is there is an issue with the front wheels being locked.
0,"@AmericanAir after losing my bags for 4 days&amp;charging me $475 to""arrange pick up""in argentina,claiming tollfree: won't reimburse me. Help!"
1,@united Brandi Zabsonre in Denver deserves a raise for bringing delight into a terrible travel situation. big ups http://t.co/TK3aOpdtSQ
0,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
0,"@SouthwestAir the person I talked to couldn't do anything not normally available online other than the ""no charge"" part."
0,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher
0,@united hi.I am still waiting for the refund. This is ridiculous.Or u approve my tickets or u give me a refund.Please advise wht is going on
0,@JetBlue delayed flight bummer
0,@USAirways been on hold for 45 minutes. Is there a better time to call? This is getting ridiculous
0,@united I bought a ticket with a price that was published by mistake and now I got an email that indicates United Cancelled Flightled my ticket! Why?
1,@USAirways On re-accommodation number Lisa (Liza?) in Raleigh was very helpful
0,@united Still waiting on our bag! Never got delivered yesterday. Can't reach a real person for help. Sending DM with ref number.
0,"@united Delayed CMH to ORD. Ran to gate 1 min b4 connection -door closed no one around. Ignored by 1st agent, 2nd super rude. #thanksunited"
0,@SouthwestAir went to purchase a flight that I began processing not even 4 minutes earlier and the points had gone up - any help?
0,"@JetBlue figured it out 4 flight 2morrow. Hard to believe with oil so low, and the killing u make that even part of a hotel can't be comp'd"
0,@USAirways 25 mins after the scheduled departure and still sitting in terminal. Communication would be lovely... http://t.co/pkAxUNYfn2
1,@SouthwestAir @SAMoore10 Thank you for your kind response.  The acknowledgement and apology go a long way! #southwestrocks
1,"@united oh, the Wi-Fi router is on top of the fuselage! ;)"
0,@AmericanAir The flight was delayed 5 times. Spent almost 40min on the tarmac. I'll reconsider my future flight options.
0,@USAirways @nm4agoodlife      5 hours on hold and no answer . Guess the synergy of a merger was really planned out
1,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!"
0,@AmericanAir Trying to make an online Flight Booking Problems one way from Barbados -NYC but wont let me as says I need a Barbados CC...why??!
0,"@united, no. Re-booked with American and United said they'd transfer our bags to them."
1,@SouthwestAir looks like Bellagio to me! Good luck people! See you at the show at Vinyl
0,"@USAirways why don't you hire people to deal with the call volume, this is absolute garbage #incompetent"
1,@JetBlue sounds great! Thank you!! :)
0,@united Agent in LAS letting 20 customers know they can't help them rebook delayed flight to DEN #unfriendlyskies http://t.co/QuzVmK2rTR
1,"@SouthwestAir, I really appreciate you all's #BHM commercial that aired today during @BET's #BookofNegroes"
0,@AmericanAir or at the very least an explanation on why no one told me my flight was Cancelled Flightled!
0,"@usairways and @AmericanAir  4 days of Cancelled Flightations, I have driven to 3 airports in 3 different states, spent more on gas than my flight."
0,"@united wasn't trying to Cancelled Flight, just trying to change my award ticket, same date and place, but thanks for sending the link, I know the fee"
1,@SouthwestAir Thanks.
0,@AmericanAir watch out if you are a parent...they break stroller &amp; tell you look at the fine print
0,"@united I hadn't filed a refund claim as I was told there was no charge by your DM. This is disputed by my bank, hence why I would like(1/2)"
0,"@united is unfriendly screw family, that hates kids and moms. now waiting on  UA871... pray its better FYVRFN ..due to agent error and tickt"
1,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!
0,@united 4016 529557.   You going to transfer my car to me too?  Because it's at the airport you couldn't get me too...
1,@JetBlue Awesome! Thank you! ;)
0,@USAirways #Wronganswer. Talk is cheap. Customer service is the action of making things right for the customer. #fail again.
1,@USAirways customer service at its finest
0,@USAirways WTF is going on with the 1:30 from DC to BOS? Twice we go back back to the gate after leaving for the runway? Total BS.
0,@united outsourcing ticket and gate agents at MIA. Ill advised. You did it in ROC and service went downhill. Keep employees and fliers first
1,Thanks @SouthwestAir ! #heartlanta
1,"“@SouthwestAir: @AMiltx3 You are forgiven most loved Customer,,,it's as if you never left :) ^LL” that's why you're bae ❤️"
1,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
0,@united @AmericanAir so that's it? It just ends there? Come on! I traveled for literally an extra day and a half because of this!
0,"@jetblue having trouble signing in to TrueBlue today, despite right credentials. getting ""We are not able to sign you in"" msg."
0,@united Fingers crossed &amp; its all intact. Very disappointed with this experience as before this we were actually saying we enjoyed using you
0,@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless
1,@SouthwestAir That guy was the flight attendant on my last flight… he was hilarious! ☺
1,@AmericanAir Thanks guys got some sleep. Hang in there DFW with bad weather.
0,@USAirways your customer service is atrocious.
0,@united We've let you know how to help the millions of customers you've treated like garbage. It's no coincidence ur ranked WORST airline.
0,@JetBlue Third straight time that my flight has been delayed flying with you guys. This will be my last trip with you.
1,@AmericanAir oh it's nothing my issue was already resolved and I am in the air
1,@SouthwestAir Thanks for getting us to paradise safely! http://t.co/KDzQcZlpyR
1,@AmericanAir Was not on board you today just watched report unfold on Twitter but still am very proud!
1,@JetBlue @CinziannaP thank you! I like the quick response on Twitter!
0,@USAirways I waited customer service 32 minutes on the phone w/o response. Had to hung up in the end since my battery died due to waiting!
0,@united thanks for making everyone wait in the dark for an hour while Newark tries to figure out which gate to go to. #incompetence
0,"@AmericanAir To announce DURING BOARDING that you chose to limit catering to the point that you WILL run out shows a lack of planning, IMO."
0,"@USAirways question is why flight took off at all, now a friend is stuck needlessly in another city"
0,@SouthwestAir heyo! What is causing flight 1836 ewr to hou to be delayed?
0,@AmericanAir it isn't good enough. You need to provide a phone number. Other partners do. Should be investigated by @IATA @TheFAAOnline
0,"@USAirways it was 1838, almost 5 hours Late Flight due  to mechanical."
0,"@AmericanAir once again flying AA4285, once again 60+ min delay because of mechanical issues. Perhaps you should consider maintenance?"
0,"@USAirways trying 2 fly frm DCA to SRQ to visit a family member in hospice but 4532 was Cancelled Flightled, can someone assist me?"
1,"@USAirways thanks for the reply. On a good note, the pilot nailed the landing. Seriously. Kudos."
0,@AmericanAir Yes. Your service in GUC sucks. Your gate agent pushed a passenger and has been rude to everyone since we got here.
0,"@united UA 746. Pacific Rim and Date Night cut out. Not constantly or randomly, but one spot, repeatably."
0,@AmericanAir a confirmed flight. I'm so done! Thanks for nothing!
0,@JetBlue hey you guys remembered lol! But now my BOS flights delayed... And turn the heat down in T5 it feels hotter than PR.
1,@JetBlue beautiful ride. Thanks again:)
0,@SouthwestAir A little surprised my Early Bird got me B15 from DEN to KC just now. Worst I've had. What's up?
0,@JetBlue I understand why ur doing it. But for someone who just traveled 2+ hours to get here early. Relax b4 flight etc. Adv notice maybe??
0,@united your helpful agents in Club helped.  I am just out baggage fees and a night of my life.stop doing business with @SilverAirways
0,@USAirways took me 4+ hours to book flights yesterday due to system errors between you and @AmericanAir. paid $320 extra due to time lapse
0,@united This is with regard to a flight from a couple weeks ago. I'm very frustrated with your policies &amp; expressing that.
0,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.
0,@AmericanAir it has been almost 4 hours and I have heard nothing yet from your reservations team. What am I supposed to do?
0,@USAirways DeeDee and Lynn S. have been great here in PHX; Richard P. here was a jerk. Rude to us and our parents for no reason.
0,@SouthwestAir it keeps saying that mobile boarding passes are unavailable despite having checked in and everything
0,"@united please explain why I need to pay bag fees twice, equally $1200, because a delayed flight resulted in bags being rechecked overnight?"
0,@united that's wonderful. unfortunately doesn't help on this 4 hr flight between to major U.S. cities. #disappointed
0,@USAirways how can a person go from number one on a standby list to number twelve in three hours?  Should I be super platinum diamond status
0,:( RT @JetBlue: Our fleet's on fleek. http://t.co/ncguZDgDaQ
0,@VirginAmerica Why is the site down?  When will it be back up?
0,@JetBlue your wifi is a lie and i hate you
1,@JetBlue Thanks! See you soon!
0,@SouthwestAir Flying now from JAX to DEN and I paid $8 for wifi that barely is functional.  Couldn't do work if I wanted to.  Never again.
0,@United site errored out at last step of changing award. Now can't even pull up reservation. 60 minute wait time.  Thanks @United!
0,"@USAirways Wife and I flew to Italy recently. Bought tickets via Finnair, flights operated by USAir. Didn't get dividend miles credited."
0,@JetBlue I waited 3 hrs for my bags and my flight was only 2 hrs
0,@united to DM you I have to follow you and I'm not doing that. Plus they're no more options. That's why I had to fly with you. #epicfail
0,@AmericanAir it wasn't really about the delay. It was more about being told the engine needed to be troubleshot.  Makes a person paranoid.
0,"@united good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed."
1,@SouthwestAir TY for your consideration!
0,@united of course I need help.  I've been DMing you ladies and gents all day. Your only solution is hope for the best and LAX.
0,@USAirways not impressed with your customer service. everyone has been unhelpful and incredibly rude.
0,@USAirways please hogs my next flight for me! I'm waiting on a bus to get me off one plane so I can run to the other. It leaves in two min!
0,Sir. RT @JetBlue: Our fleet's on fleek. http://t.co/F5IXyw8XyB
1,@SouthwestAir Thx to customer service rep ALEX for his patient help in reFlight Booking Problems a Cancelled Flighted flight and getting us where we have to be tmrw!
0,"@united  gate agent at EWR "" if you are disabled or in a wheel chair, it's time to board, please step"". STEP UP??? Lol"
0,@AmericanAir How clueless is AA. Been waiting to hear for 2.5 weeks about a refund from a Cancelled Flightled flight &amp; been on hold now for 1hr 49min
0,@united it's a shame the great customer service wasn't continued in SFO. Slightly absurd
0,@united i left an item on the plane and have been calling non stop and no one has been answering can you please help
0,@AmericanAir fix the engine of flight AA3031so I don't spend all night in your airport so I can fly home tomorrow
0,@JetBlue well I'm glad I got up at 5 am so I can sit in an airport.  No place else I'd rather be (not)
0,@united just 1 last thing. U guys shouldn't be charging $ for drinks on a transatlantic flight
1,@united Resolved. Over hour of work on  ground &amp; somehow the system reset itself during takeoff. I appreciate the quick response/service.
1,@United WiFi onboard 737-800 far superior in pricing and performance (user-perceived bandwidth and Late Flightncy) to recent @GoGo experiences.
1,.@USAirways thanks!
0,@united Ruth was VERY helpful in re-routing us to Punta Cana when Dulles connection failed. Other reps- NOT so helpful.
0,@USAirways This is the worst flying experience of my life. Flight scheduled for departure at 5:44pm from Phl. 5+ hrs Late Flightr guess where I am?
0,@united of course I would like hepl! Are you kidding me? That's the ONLY reason I've been on hold for the past 5 hours!
0,@USAirways we've (flight 4443) been sitting on the tarmac of dca for a while now waiting on a gate. Can we just use another gate?
0,@united just had the worst customer service experience ever on united airlines
0,@SouthwestAir give us some more clever advertising about #bagsflyfree is that because #badpolicy allows you to #cheatcustomers
1,@AmericanAir Absolutely!
0,@USAirways Flt 4609 landed over half an hour ago. Not a single bag yet on the baggage claim. Hate you so much right now.
0,"@SouthwestAir really this is getting worse as the day goes on. Late Flight leaving then had to be diverted, and now sitting on the tarmac in VA."
0,@AmericanAir aftr 10 hrs bng held hstg at mia bc aa refsd to get med bags. bag fnd aa then refsd to fix tkts they cnceld said $360 to fly
1,@united thanks for leaving our 3 year old in his own row flight 360 LAX-IAD
0,@united I have never been more frustrated than my conversations with United who can't speak Spanish to the courier company that has my bag!
0,"@AmericanAir but you're not sorry enough to compensate for either the extended time or cost difference to an alternate direct flight, right?"
0,@USAirways you're killing me sche a flight to board 3 min after mine arrived with gate on other side of airport #genious
0,"@USAirways this has been my WORST flying experience with you guys, you need to do better"
0,@united new 737 plane; wifi: not working. Entertainment: non existent. New Seats: seriously uncomfortable. Really? #unitedfail UA1550
0,"@united will flight 5559 to YYC be providing free food when we are allowed back on board  after the ""broken lightbulb"""
0,@USAirways flight #3797 treatment of passengers has been atrocious - over 2 hours delay only to now deplane and given no direction
0,@AmericanAir your cabin 'thank you' message reminds people about having choices when they fly. I will be choosing another airline next time.
0,@AmericanAir my flight was Cancelled Flightled from Laguardia to Louisville Ky and i am  stuck at the airport. Do you guys compensate for this?
0,"@AmericanAir 2284, four hours Late Flightrs and we are finally flying out...too bad I missed my event"
0,"@AmericanAir I was on flt 2222 tomorrow, they moved me to 750. I need it moved to Tuesday. the roads won't be better for flight 750. thanks"
0,@SouthwestAir Can't DM you because you don't follow me.
0,@SouthwestAir why are you the ONLY airline that is not flying out of BNA today?
0,@united @bwood we'd prefer everyone hear our complaints amount your airline
0,@AmericanAir do you have the phone number of a supervisor i can speak to regarding my travels today
0,@USAirways @AmericanAir our honeymoon was delayed a day because a gas cap was not screwed on! Flight 1801- so frustrating!
0,@USAirways talked to Supervisor Jeanine and she couldn't help me. 45 minutes of talking to her and nothing.
0,@SouthwestAir I receive bad customer service and ended up spending several hundred dollars to accommodate my family during each cxl flight
0,@AmericanAir I need a flight out tonight. Isn't there anything else?
0,@united I know I can see that too but now estimated time of dep. is 10am. I don't understand why there wasn't a better estimate 3 hrs ago
0,@AmericanAir @USAirways - I'm pregnant with twins and you're going to abandon me overnight in an airport? No hotel? When it's your fault?
0,@united can we get an explanation on why UA978 from São Paulo to Houston has been delayed? Now we're hearing from crew about Cancelled Flightlations.
0,@united 5.5hrs Late Flightr and you still can't figure it out. Random text updates. #embarrassing #ua3728 http://t.co/vFTUyJh45X
1,@SouthwestAir thank you kindly.
0,@AmericanAir I responded. Your info different than your customer service line
1,@JetBlue Thank you Alicia!  #ExceptionalService
1,@JetBlue is definitely my new favorite airline.
1,@SouthwestAir Thanks for sending my kid to the #DestinationDragons concert Vegas @Imaginedragons So awesome! http://t.co/G9b6e0a2sZ
0,@JetBlue well our plane just landed at the international terminal... so they announced the 10 pm new time.
1,"@united Great landing in Denver, next Rapid City. Snow starting to fall...Florida Everglades is a faint sunburn away...here comes the cold!"
0,@USAirways I am in meetings in California and have no luggage!!
1,@JetBlue Please come to Indianapolis!
0,@USAirways 5 hour cross country morning flight and you have no food? #BadService
0,Only 14 biz days (18 calendar) to respond to my inquiry @united ?  I hope your standards are universally adopted :-/ #BadCustomerService
1,@JetBlue Thank you for the JetBlue Credit. Nice save :-)
0,"@JetBlue I called jet blue to get an explanation, and make sure it would not happen in the future. I was told to write the fraud dept."
0,"@AmericanAir no one received text alerts, automated calls, anything either. Literally no information as to what was happening."
1,@SouthwestAir hot stewardess flipped me off
0,@SouthwestAir been on hold for 1.5 hrs. What's up?
0,@united Flight 6212...massive fail! They delaying to transport a crew member causing many to miss connections! Unreal!
0,@AmericanAir working over time tonight?  Got delayed 2 days .. In SJU .. Could be worse :)
0,"@JetBlue yeah that's all been done. Define ""incidentals""? How much can I spend on gear so this trip is not a waste?"
1,@JetBlue is the best!  Can't wait to use my travel bank $ for a FUN trip.
0,@AmericanAir my flight 386 to Dallas from Jacksonville fl has been Cancelled Flightled. No one has notified me. What's going on?
0,@AmericanAir In car gng to DFW. Pulled over 1hr ago - very icy roads. On-hold with AA since 1hr. Can't reach arpt for AA2450. Wat 2 do?
0,"@AmericanAir the original receipt lists my flight cost as $89ish, and doesn't reflect the use of a voucher"
0,"@JetBlue just had a horrible experience with check in agent at fort myers, I'll document and send details, off to Boston"
0,@AmericanAir for our delays !!! I'm out of more money because of you
0,"@JetBlue @martysg you *know* how I love you, JB, but honestly, when you have complex feedback, those pull-down sub-option forms=maddening."
0,.@JetBlue thanks for making an effort. Credit where credit is due: flight 795 delayed 5 hours instead of 8 hours. #fwiw #loweredexpectations
1,"@SouthwestAir Although the wait was long due to weather r/scheduling, a phone call and super rep solved the issue! Thank you!!"
1,@united thanks gate agent extraordinaire Seau Fong for helping me get re-booked out of Boise and (hopefully) home to NYC sometime tonight!
0,@SouthwestAir why does the customer service have rather inconsistent information
0,@AmericanAir is flight 1318 Cancelled Flighted or not? No word from the ground staff.
0,@united  i have a weekend of dealing with your company that would say otherwise.
0,@united when will you offer real food in american clubs like the amazing food you offer in Heathrow?
0,@united agent helps the person in front of me.  Finishes up with them and then walks away.  The guy behind me is as shocked as I am.
0,"@SouthwestAir AH - did DM, no reply. On hold now over 2hrs. Just spent over $1k to get a United flight tmrw to get home. #lame"
0,@JetBlue something they're not telling us (2)
0,@JetBlue no excuse though for 3 gate changes though.
0,@united Just had the worst experience ever flying with you
0,"@united did your super computer 💩 ots pants? Lots of cranky people in line at CMH reFlight Booking Problems, delaying check-ins of on-time, direct flyers"
0,"@USAirways worst service at Reagan Int. I rarely post about a company or service, but I am so annoyed. Not weather reLate Flightd…incompetence."
0,@united I have proof that my situation now is due to company mistake
0,"@united and most frustratingly, all this delay happened either at the gate, or even onboard the aircraft! No heads up in advance!!!"
1,@USAirways   Just talked to reservation. Must congratulation to them. Very friendly.  Good for usair. The ONLY airline we fly.
0,"@AmericanAir not only on both legs did I have damaged seat, u damaged an expensive case and not offered anything.Just an apology 6wks Late Flightr!"
0,@united you guys are gay
0,@SouthwestAir I had to switch airlines and eat the difference (which was not insubstantial) and Cancelled Flight all plans for sat &amp; sun :(
0,@AmericanAir have such a bad rep for loosing costumers luggage. I stopped flying them a while back.
0,@JetBlue you're customer service is terrible. #NeverAgain #flywhonotblue
0,@united 25 min hold has now progressed to over an hour...919-675-0985
0,@united worst flying experience ever and they tried to blame it on ATC?! I watched them load bags for 30min after boarding 45min Late Flight
0,"@USAirways to CLT from JFK nasty planes, dirty seats &amp; floors, rude flight attendants- hopefully AA can get you cleaned up #disgusting #vile"
0,@JetBlue so you guys lost my bag that had all my ski gear in it. I flew here from NYC to ski. Should I buy new stuff tomorrow? ...
0,@usairways @BarclaycardUS 1 hr wait so far for customer service. yes bad weather but do air traffic controllers answer your phones?!??
1,@united Thank you for your offer! All sorted out :-)
1,"@AmericanAir I love travel with yours planes, all people is very nice, it's amazing! Can you please follow me back? 😋I love the company!"
0,@USAirways This flight was for my brother. He has been rebooked and I was able to give my info over the phone to get him a pass to the Club.
0,@USAirways @ClaudOakeshott how about a link that works pls Nothing but complete frustration w usair last 12 hrs
